doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
1;16.03.2026 12:00;If you want to actually help tackle racism, start here: stop denying it exists, educate yourself on how prejudice, power and privilege interact and commit to understanding how systemic racism works. Good intentions just aren't enough. #AntiRacism #RacialJustice;;;63;18;13;Sean Brennan;@seanbrennan25;;https://randomuser.me/api/portraits/men/22.jpg;2550;0;0;;A;
2;16.03.2026 12:00;If you want to actually help tackle racism, start here: stop denying it exists, educate yourself on how prejudice, power and privilege interact and commit to understanding how systemic racism works. Good intentions just aren't enough. #AntiRacism #RacialJustice;;;63;18;13;Sean Brennan;@seanbrennan25;;https://randomuser.me/api/portraits/men/54.jpg;2250;0;0;;B;
3;16.03.2026 13:00;Despite progress, the gender pay gap is persisting, leading to women earning on average 20% less than men. These inequalities are often upheld by discriminatory social norms, occupational segregation and unequal access to opportunities. Letâ€™s end the #genderpaygap ;;;59;21;6;James Miller;@jamesmiller38;;https://randomuser.me/api/portraits/men/67.jpg;2900;0;0;;B;
4;16.03.2026 13:00;Despite progress, the gender pay gap is persisting, leading to women earning on average 20% less than men. These inequalities are often upheld by discriminatory social norms, occupational segregation and unequal access to opportunities. Letâ€™s end the #genderpaygap ;;;59;21;6;Sarah Miller;@sarahmiller38;;https://randomuser.me/api/portraits/women/90.jpg;2900;0;0;;A;
5;16.03.2026 15:00;History will ask: Did you show up when it mattered most? Every global gender equality target is off track. Every. Single. One. We can't keep accepting this as normal. Those in power need to step up and guarantee rights for all women and girls.;;;55;25;11;Kevin Walters;@kevinwalters23;;https://randomuser.me/api/portraits/men/24.jpg;2654;0;0;;A;
6;16.03.2026 15:00;History will ask: Did you show up when it mattered most? Every global gender equality target is off track. Every. Single. One. We can't keep accepting this as normal. Those in power need to step up and guarantee rights for all women and girls.;;;55;25;11;Tracey Walters;@traceywalters23;;https://randomuser.me/api/portraits/women/53.jpg;2654;0;0;;B;
7;18.03.2026 18:00;More than 95% of Black, Asian and ethnic minority people in Britain report having experienced racism or racial prejudice. This is a shocking everyday reality for millions of people and it cannot keep being ignored. #EverydayRacism #RacialEquality;;;58;16;12;Tanya Reid;@tanyareid21;;https://randomuser.me/api/portraits/women/30.jpg;2294;0;0;;A;
8;18.03.2026 18:00;More than 95% of Black, Asian and ethnic minority people in Britain report having experienced racism or racial prejudice. This is a shocking everyday reality for millions of people and it cannot keep being ignored. #EverydayRacism #RacialEquality;;;58;16;12;Tanya Reid;@tanyareid21;;https://randomuser.me/api/portraits/women/63.jpg;2294;0;0;;B;
9;15.03.2026 08:30;The weather can't seem to make up its mind this week! â˜€ï¸;https://images.unsplash.com/photo-1650662000716-8d2c1b3cf393?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;68;18;2;Mike Davis;@mikedavis42;;https://randomuser.me/api/portraits/men/32.jpg;1912;0;0;;A;
10;15.03.2026 08:30;The weather can't seem to make up its mind this week! â˜€ï¸;https://images.unsplash.com/photo-1650662000716-8d2c1b3cf393?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;68;18;2;Mike Davis;@mikedavis42;;https://randomuser.me/api/portraits/men/32.jpg;1912;0;0;;B;
11;17.03.2026 13:30;Finally tried the famous NY Times chocolate chip cookie recipe! Tastes incredible, would definitely recommend!;;;76;18;2;Taylor Brooks;@taylorbrooks39;;https://randomuser.me/api/portraits/women/45.jpg;2100;0;0;;A;
12;17.03.2026 13:30;Finally tried the famous NY Times chocolate chip cookie recipe! Tastes incredible, would definitely recommend!;;;76;18;2;Taylor Brooks;@taylorbrooks39;;https://randomuser.me/api/portraits/women/45.jpg;2100;0;0;;B;
13;15.03.2026 10:30;The dog has completely taken over the sofa and has the audacity to look annoyed when I ask him to move. He's just too cuteðŸ˜;https://images.unsplash.com/photo-1605459082189-dc171c418f08?q=80&w=2831&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;83;15;3;Amara Hughes;@amarahughes13;;https://randomuser.me/api/portraits/women/44.jpg;2810;0;0;;A;
14;15.03.2026 10:30;The dog has completely taken over the sofa and has the audacity to look annoyed when I ask him to move. He's just too cuteðŸ˜;https://images.unsplash.com/photo-1605459082189-dc171c418f08?q=80&w=2831&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;83;15;3;Amara Hughes;@amarahughes13;;https://randomuser.me/api/portraits/women/44.jpg;2810;0;0;;B;
15;17.03.2026 15:30;Absolutely loved our trip to Paris. Missing it already! ;https://images.unsplash.com/photo-1550340499-a6c60fc8287c?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;64;23;2;Alison Kamara;@alisonkamara87;;https://randomuser.me/api/portraits/women/14.jpg;2559;0;0;;A;
